"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","uslec_c","MNGN","bd1","fc","WP","OC","dep","app_rate","app_eff","DWRATE","DSRATE","kd","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf","przm_max_h2","pwc_max_peak","pwc_max_h2","pwc_max_benthic","Conv.Factor","max_sed"
"687",0.777,16.975,0.413,0.484,0.569,16.639,4124.484,91.443,0.158,0.209,1.406,0.152,0.1,0.831,0.307,1.785,0.223,0.077,0.077,1389.938,336.792,22.636,614.649,20.952,362.978,40,323.031,0.588,0.455,0.468,1.387,0.027,3.67,3.818,35.97,0.623,0.118,0.218,9.373,0.001,5.6177,0.011269,0.0081698,0.00060348,1390,0.8388372
"688",0.764,17.603,0.136,2.378,0.705,43.869,4943.962,89.011,0.68,0.052,1.378,0.097,0.126,0.085,1.185,1.674,0.454,0.199,0.199,2292.107,222.058,24.095,313.093,24.577,297.103,40,1.375,0.618,0.19,0.217,1.537,0.022,58.756,2.434,78.19,0.312,0.139,11.861,5.493,0.001,5.2216,0.030708,0.021074,0.0021981,2290,5.033649
"689",0.777,15.503,0.24,0.817,0.443,13.335,2952.729,53.93,0.276,0.124,1.534,0.073,0.122,1.636,1.78,0.777,0.153,0.188,0.188,2275.565,267.853,21.081,606.485,23.503,368.216,40,354.141,0.171,0.812,0.523,1.358,0.017,19.12,1.186,8.328,0.309,0.052,7.317,5.877,0,0.73594,0.0040754,0.0019056,1.8536e-05,2280,0.04226208
"690",0.747,17.54,0.472,3.892,0.156,10.105,4296.19,64.808,0.037,0.103,1.552,0.102,0.138,0.357,0.46,0.838,0.283,0.176,0.176,3295.318,222.884,24.065,514.008,20.817,127.996,40,201.667,0.664,0.146,0.719,1.057,0.029,49.087,4.167,23.477,0.837,0.128,1.202,9.078,0,1.7341,0.0031643,0.0016444,8.2662e-05,3300,0.2727846
"691",0.762,16.507,0.372,4.761,0.319,44.302,3739.907,72.857,0.179,0.013,1.599,0.022,0.217,0.085,3.178,1.852,0.439,0.069,0.069,4068.07,50.903,23.584,282.108,24.016,297.385,40,347.858,0.006,0.854,0.453,0.998,0.024,41.162,3.042,7.19,0.591,0.042,11.211,9.22,0.001,2.6477,0.011153,0.0059016,4.3372e-05,4070,0.17652404
"692",0.722,18.384,0.267,2.45,0.406,35.276,4964.952,90.713,0.877,0.46,1.489,0.015,0.107,0.314,0.875,1.311,0.899,0.005,0.005,2201.437,300.493,21.403,584.898,20.882,180.335,40,237.153,0.324,0.736,0.253,1.671,0.012,47.654,2.467,40.847,0.083,0.115,6.99,0.737,0.001,5.6361,0.092685,0.063603,0.0026278,2200,5.78116
"693",0.766,15.068,0.199,0.656,0.434,43.586,2805.118,53.551,0.79,0.019,1.617,0.135,0.117,1.823,1.774,1.959,0.477,0.01,0.01,1589.185,320.751,21.005,68.507,23.877,173.572,40,127.877,0.05,0.808,0.57,0.886,0.025,0.727,1.599,30.972,0.089,0.136,9.73,1.919,0,0.73578,0.0049767,0.0029784,1.3916e-05,1590,0.02212644
"694",0.773,18.485,0.159,3.19,0.578,6.556,4450.887,80.343,0.36,0.294,1.429,0.116,0.293,1.543,2.002,1.94,0.177,0.142,0.142,5447.181,14.574,20.056,232.292,20.113,195.627,40,72.82,0.738,0.816,0.251,1.3,0.013,42.748,1.515,20.228,0.759,0.123,1.737,9.691,0,3.6454,0.0036042,0.0022925,2.4701e-05,5450,0.13462045
"695",0.735,15.793,0.23,0.284,0.409,32.965,4636.571,87.379,0.338,0.247,1.637,0.127,0.111,0.723,5.292,1.985,0.601,0.128,0.128,5561.374,257.662,23.76,348.629,21.841,254.195,40,178.781,0.433,0.289,0.373,1.709,0.019,15.686,3.556,15.284,1.183,0.126,9.535,6.526,0,4.8342,0.0015414,0.0008207,4.3586e-05,5560,0.24233816
"696",0.728,15.913,0.292,2.533,0.51,32.971,2444.263,94.515,0.072,0.411,1.495,0.097,0.107,0.631,0.579,1.348,0.525,0.141,0.141,5684.663,276.845,24.17,227.638,20.705,125.008,40,239.393,0.634,0.24,0.248,0.941,0.015,58.427,0.077,13.394,1.252,0.083,7.662,6.637,0.001,6.4388,0.01525,0.010053,0.0011008,5690,6.263552
"697",0.758,18.179,0.278,0.968,0.134,37.486,2568.733,66.105,0.366,0.276,1.469,0.086,0.267,0.369,2.763,1.071,0.112,0.164,0.164,5317.659,255.602,23.505,195.967,24.665,175.782,40,237.476,0.527,0.238,0.556,1.419,0.025,3.603,4.315,63.752,0.22,0.081,13.912,2.469,0,1.8217,0.0014869,0.00076907,1.8307e-05,5320,0.09739324
"698",0.74,15.175,0.381,2.62,0.826,27.175,2308.224,51.845,0.233,0.319,1.524,0.046,0.126,0.827,3.672,1.093,0.291,0.021,0.021,5848.562,263.037,22.551,726.531,21.306,362.395,40,172.012,0.427,0.043,0.672,1.056,0.015,40.779,0.501,18.377,0.587,0.138,9.611,8.541,0,0.60008,0.0011353,0.00079269,0.00015692,5860,0.9195512
"699",0.765,18.45,0.489,2.783,0.511,22.041,2684.522,52.903,0.736,0.299,1.434,0.096,0.111,0.222,5.229,0.994,0.969,0.111,0.111,1665.003,274.401,20.612,238.888,22.784,199.315,40,244.69,0.52,0.687,0.294,1.276,0.008,37.169,4.867,46.844,0.299,0.137,2.868,2.491,0,0.68124,0.0034119,0.0026313,2.6804e-05,1670,0.04476268
"700",0.776,17.87,0.435,4.603,0.754,30.097,2223.454,93.401,0.198,0.349,1.615,0.063,0.234,1.031,5.704,1.541,0.223,0.038,0.038,1770.873,293.898,23.748,445.199,20.96,106.275,40,300.768,0.37,0.223,0.595,1.693,0.011,27.501,4.833,15.552,0.172,0.005,10.029,6.707,0,6.0501,0.0089937,0.0062191,0.00073962,1770,1.3091274
"701",0.729,18.765,0.352,2.665,0.247,0.468,2953.704,58.612,0.86,0.248,1.547,0.04,0.194,1.468,5.357,0.554,0.221,0.137,0.137,5366.567,45.601,24.794,550.921,23.9,329.09,40,188.033,0.66,0.481,0.797,1.119,0.008,11.283,4.445,52.404,0.787,0.073,7.354,0.168,0.001,1.1589,0.00084273,0.00060987,1.6022e-05,5370,0.08603814
"702",0.755,15.248,0.289,2.448,0.232,33.67,2940.449,87.362,0.852,0.108,1.501,0.002,0.131,0.673,1.96,0.536,0.673,0.122,0.122,5015.717,97.935,22.835,243.091,22.982,316.289,40,257.46,0.466,0.799,0.519,1.335,0.02,28.879,1.864,38.891,0.622,0.132,5.129,3.749,0.001,4.8256,0.0076739,0.0048256,9.0429e-05,5020,0.45395358
"703",0.772,16.301,0.476,3.85,0.973,26.173,2484.959,73.899,0.686,0.151,1.317,0.099,0.251,1.523,0.591,1.624,0.509,0.03,0.03,4396.464,264.971,24.237,383.249,20.429,134.611,40,275.008,0.704,0.499,0.129,1.656,0.027,3.59,0.176,9.269,0.421,0.114,0.977,5.578,0,2.7877,0.36381,0.086563,0.00091205,4400,4.01302
"704",0.765,15.053,0.239,2,0.233,13.837,3177.79,85.299,0.309,0.135,1.504,0.108,0.289,1.254,1.955,0.513,0.63,0.148,0.148,1424.768,364.011,21.582,418.705,22.639,294.423,40,237.884,0.012,0.437,0.39,1.273,0.023,50.434,2.489,51.394,0.662,0.078,6.053,7.573,0,4.4644,0.0048307,0.0037102,0.00019761,1430,0.2825823
"705",0.729,19.882,0.437,4.519,0.623,19.989,3232.452,56.737,0.241,0.066,1.558,0.146,0.135,1.15,0.931,1.958,0.9,0.043,0.043,2668.412,356.67,23.704,586.151,24.944,115.957,40,31.187,0.372,0.431,0.222,1.09,0.026,11.84,0.036,11.344,0.804,0.105,7.577,3.018,0.001,0.98791,0.095772,0.036069,0.00029747,2670,0.7942449
"706",0.744,19.762,0.295,4.303,0.591,25.677,4370.101,60.112,0.782,0.225,1.418,0.094,0.152,1.176,1.308,1.834,0.588,0.046,0.046,2580.646,27.209,21.923,101.565,20.943,103.881,40,16.274,0.198,0.927,0.789,1.266,0.013,52.93,4.069,25.014,0.321,0.052,12.418,6.939,0.001,1.2558,0.036534,0.022708,8.7097e-05,2590,0.22558123
"707",0.722,15.356,0.331,2.955,0.293,41.431,4167.572,54.399,0.813,0.285,1.452,0.115,0.147,0.146,4.367,1.021,0.896,0.083,0.083,5463.913,319.23,24.34,556.99,23.567,330.959,40,362.236,0.507,0.176,0.666,0.918,0.024,10.04,1.525,11.864,0.35,0.132,9.466,6.777,0,0.74715,0.0027898,0.0014715,5.463e-05,5470,0.2988261
"708",0.757,17.047,0.37,0.35,0.413,44.176,4900.455,57.504,0.793,0.057,1.629,0.043,0.201,1.734,5.058,0.702,0.274,0.017,0.017,4711.51,197.174,24.12,261.971,23.622,206.349,40,337.173,0.346,0.354,0.738,0.977,0.024,28.638,1.809,18.197,0.724,0.121,9.011,5.171,0.001,1.0526,0.0022993,0.0012119,2.2146e-05,4720,0.10452912
"709",0.744,17.471,0.281,1.994,0.373,10.714,4992.465,96.701,0.349,0.312,1.458,0.095,0.222,1.436,2.357,0.572,0.325,0.193,0.193,5287.537,182.767,22.807,498.332,20.48,317.724,40,2.565,0.375,0.977,0.315,1.287,0.013,11.946,4.736,45.388,1.013,0.103,0.661,7.316,0,6.9179,0.0019441,0.0013168,5.8834e-05,5290,0.31123186
"710",0.752,18.611,0.346,2.16,0.881,49.137,4866.904,53.912,0.995,0.3,1.612,0.052,0.299,0.029,0.539,1.509,0.616,0.138,0.138,4842.55,16.155,22.398,138.838,23.848,414.622,40,229.71,0.729,0.201,0.211,1.254,0.009,34.441,4.665,13.702,0.736,0.067,11.592,3.583,0,0.75732,0.019794,0.012296,0.00021144,4850,1.025484
"711",0.738,19.15,0.294,1.414,0.716,4.318,2840.064,89.894,0.335,0.251,1.631,0.147,0.28,0.973,3.662,1.221,0.653,0.072,0.072,1962.535,120.349,20.567,658.491,23.496,273.861,40,88.848,0.426,0.898,0.307,1.69,0.016,24.43,4.974,75.915,1.276,0.038,6.98,3.736,0,5.4035,0.012515,0.0081859,0.00025244,1960,0.4947824
"712",0.735,19.075,0.205,1.885,0.777,6.731,4109.148,96.077,0.486,0.317,1.544,0.109,0.285,0.859,3.274,0.539,0.815,0.067,0.067,4726.971,110.808,21.822,593.56,24.059,287.763,40,41.644,0.516,0.43,0.779,1.308,0.029,32.943,0.07,10.685,0.686,0.092,0.497,7,0.001,6.7142,0.012648,0.0060667,0.0003971,4730,1.878283
"713",0.733,17.824,0.137,3.657,0.143,9.723,3837.171,76.301,0.788,0.155,1.307,0.158,0.11,0.703,5.411,1.417,0.299,0.186,0.186,2173.697,164.661,22.202,90.911,20.85,312.632,40,195.343,0.443,0.34,0.686,1.681,0.013,30.463,2.163,4.781,0.005,0.087,12.759,8.15,0.001,3.0745,0.0023367,0.0013466,2.5151e-05,2180,0.05482918
"714",0.726,19.331,0.188,2.878,0.708,49.434,3253.59,91.837,0.032,0.194,1.623,0.06,0.256,1.978,4.591,0.578,0.59,0.179,0.179,2848.844,64.564,20.623,673.681,22.004,210.335,40,192.664,0.454,0.159,0.794,1.435,0.009,5.12,3.095,52.724,0.351,0.048,12.438,2.789,0.001,5.8177,0.0012702,0.00094404,0.0001739,2850,0.495615
"715",0.765,18.76,0.188,3.846,0.448,43.201,4118.626,53.126,0.989,0.143,1.507,0.036,0.21,1.245,3.962,1.16,0.21,0.165,0.165,3379.976,213.019,21.07,21.529,21.317,225.617,40,68.399,0.72,0.759,0.283,0.985,0.025,51.895,0.976,65.438,0.134,0.046,3.162,1.76,0,0.68309,0.003944,0.0017966,3.1068e-06,3380,0.010500984
"716",0.768,18.751,0.169,0.037,0.119,23.715,3740.738,79.809,0.809,0.233,1.484,0.129,0.137,1.441,1.826,1.472,0.825,0.15,0.15,3514.653,357.588,20.589,56.065,24.707,343.467,40,7.921,0.152,0.744,0.156,1.668,0.004,35.033,3.749,19.496,0.374,0.087,13.274,1.496,0,3.6467,0.000649,0.00050298,5.4288e-06,3520,0.019109376
"717",0.744,15.362,0.422,0.915,0.991,35.162,3356.989,93.518,0.632,0.4,1.629,0.124,0.296,1.837,3.388,1.16,0.739,0.007,0.007,1581.543,46.042,20.582,215.022,22.255,297.32,40,174.834,0.371,0.255,0.527,1.726,0.025,6.096,1.605,38.88,1.381,0.127,3.827,5.539,0.001,6.238,0.037777,0.025305,0.0020287,1580,3.205346
"718",0.748,18.7,0.227,0.363,0.28,33.664,4807.057,83.302,0.179,0.39,1.42,0.143,0.194,0.948,2.696,0.597,0.705,0.129,0.129,5159.559,300.432,24.284,685.305,21.119,127.89,40,213.623,0.462,0.754,0.277,1.395,0.005,36.014,3.391,30.518,1.215,0.13,6.169,9.075,0.001,4.1499,0.00036292,0.00030679,1.2553e-05,5170,0.06489901
"719",0.776,15.568,0.194,0.67,0.171,8.284,4653.911,83.957,0.305,0.355,1.547,0.138,0.11,1.06,0.575,1.527,0.851,0.023,0.023,3315.915,110.718,21.192,599.202,24.049,316.346,40,215.189,0.189,0.901,0.137,1.217,0.007,48.409,1.572,77.877,1.366,0.139,13.6,0.047,0.001,4.2663,0.0025798,0.0022982,0.00010923,3320,0.3626436
"720",0.763,18.387,0.394,3.399,0.317,32.015,2001.592,94.253,0.194,0.35,1.423,0.064,0.264,1.459,0.669,1.663,0.171,0.015,0.015,5035.954,253.655,23.344,310.902,21.741,184.997,40,347.036,0.462,0.685,0.438,1.528,0.015,42.894,3.124,19.69,0.059,0.08,0.567,2.023,0,6.2463,0.018737,0.0082614,0.00024766,5040,1.2482064
"721",0.751,17.288,0.311,1.011,0.407,23.581,3910.33,55.423,0.204,0.41,1.365,0.107,0.119,1.257,0.137,1.673,0.184,0.093,0.093,1634.814,138.001,20.909,554.919,20.525,364.898,40,354.787,0.135,0.571,0.15,1.384,0.015,24.869,1.234,63.244,1.425,0.084,12.631,2.952,0.001,0.82798,0.0026532,0.0017835,3.2758e-05,1640,0.05372312
"722",0.731,19.835,0.244,2.47,0.281,16.888,4577.014,59.242,0.635,0.017,1.362,0.027,0.3,1.219,2.639,1.423,0.148,0.013,0.013,5162.737,11.926,23.497,704.445,23.847,317.242,40,241.858,0.117,0.915,0.148,1.033,0.008,42.361,0.778,55.865,0.655,0.107,2.805,3.013,0,1.1641,0.00063826,0.0005046,9.5455e-06,5170,0.049350235
"723",0.739,15.358,0.302,0.851,0.354,26.94,3568.729,94.803,0.131,0.065,1.602,0.123,0.128,1.902,5.113,1.602,0.388,0.075,0.075,4691.26,121.022,23.754,662.29,21.003,328.513,40,145.893,0.251,0.715,0.178,1.305,0.008,8.372,1.243,53.598,0.23,0.061,8.451,9.121,0.001,6.4359,0.00086347,0.0006633,5.0625e-05,4690,0.23743125
"724",0.761,17.925,0.239,4.239,0.248,0.484,2996.351,84.813,0.684,0.254,1.323,0.118,0.176,1.084,5.49,1.914,0.361,0.026,0.026,3898.256,309.179,21.044,554.563,21.879,332.431,40,172.407,0.17,0.083,0.497,1.049,0.022,49.769,2.024,47.147,1.399,0.041,13.329,9.825,0.001,4.4829,0.0059808,0.004406,0.00089191,3900,3.478449
"725",0.743,15.007,0.417,3.272,0.609,34.321,4552.929,74.879,0.966,0.012,1.598,0.097,0.296,0.579,1.691,0.864,0.207,0.03,0.03,1088.582,29.73,22.155,643.184,22.568,288.246,40,17.856,0.517,0.909,0.117,0.895,0.008,5.159,2.377,53.346,0.491,0.104,14.92,2.613,0,2.899,0.015555,0.013379,0.00038369,1090,0.4182221
"726",0.722,16.104,0.466,4.262,0.711,35.582,4065.035,73.501,0.844,0.421,1.584,0.084,0.192,0.698,4.012,0.575,0.876,0.129,0.129,5351.761,111.393,22.419,571.081,21.832,163.778,40,205.002,0.096,0.312,0.31,1.486,0.006,43.674,3.619,1.323,0.614,0.017,7.669,9.432,0,2.8007,0.0080375,0.0055775,0.00020825,5360,1.11622
"727",0.777,17.521,0.179,2.513,0.61,45.873,2170.996,73.753,0.4,0.362,1.453,0.022,0.284,1.882,4.174,1.133,0.689,0.2,0.2,5569.5,344.996,22.703,360.476,22.173,302.63,40,172.365,0.447,0.15,0.404,1.427,0.006,41.151,2.482,8.258,0.219,0.007,9.849,5.987,0.001,2.7941,0.0029786,0.0020116,0.00011242,5580,0.6273036
"728",0.747,17.387,0.353,4.867,0.123,2.792,2812.24,78.495,0.443,0.02,1.333,0.053,0.176,1.597,3.779,1.957,0.82,0.15,0.15,1225.315,205.14,23.351,106.666,24.159,121.72,40,231.349,0.212,0.291,0.4,1.284,0.027,25.421,4.893,50.151,0.462,0.018,9.597,8.863,0.001,3.3465,0.033724,0.021701,0.00039752,1230,0.4889496
"729",0.744,18.346,0.317,4.354,0.974,30.331,2214.238,94.702,0.212,0.083,1.468,0.032,0.23,1.304,5.4,1.336,0.151,0.087,0.087,1456.459,40.327,20.649,107.79,21.81,211.807,40,157.918,0.231,0.323,0.216,1.651,0.008,23.716,1.342,60.739,1.266,0.137,10.8,9.309,0,6.4444,0.0030997,0.0025528,0.00028029,1460,0.4092234
"730",0.774,17.658,0.343,3.471,0.842,0.965,2355.288,86.644,0.165,0.182,1.571,0.152,0.281,0.456,4.005,1.248,0.449,0.038,0.038,5334.773,221.978,22.59,95.354,24.503,140.243,40,168.117,0.488,0.476,0.165,1.625,0.02,15.117,1.341,24.267,0.725,0.136,3.473,3.138,0,4.8396,0.0068881,0.0034544,6.0834e-05,5340,0.32485356
"731",0.727,17.189,0.319,2.608,0.877,10.7,2759.48,65.943,0.669,0.464,1.604,0.054,0.17,0.774,2.881,0.727,0.633,0.157,0.157,2730.886,293.747,20.398,669.897,23.794,334.26,40,163.772,0.211,0.416,0.289,1.441,0.024,19.393,0.374,17.453,0.934,0.098,1.321,2.738,0.001,1.8226,0.027356,0.0079052,0.00010936,2730,0.2985528
"732",0.758,16.405,0.186,3.287,0.719,24.826,2029.072,86.451,0.738,0.168,1.539,0.041,0.209,1.651,0.217,0.594,0.925,0.197,0.197,3590.15,102.93,21.129,675.761,21.479,275.251,40,14.423,0.112,0.691,0.482,1.641,0.024,54.971,1.717,55.445,0.432,0.057,2.698,6.127,0.001,4.626,0.027834,0.014987,0.00034443,3590,1.2365037
"733",0.759,17.537,0.416,2.332,0.28,45.279,2825.514,71.776,0.051,0.078,1.595,0.137,0.161,1.508,1.973,1.245,0.351,0.163,0.163,3394.084,229.199,22.568,424.418,23.484,341.51,40,311.787,0.693,0.737,0.411,1.012,0.012,36.984,3.409,16.765,0.406,0.053,8.406,6.437,0.001,2.5148,0.0018539,0.0012302,2.1562e-05,3400,0.0733108
"734",0.725,18.698,0.228,3.715,0.577,16.188,3716.597,93.171,0.464,0.283,1.528,0.079,0.224,1.446,1.559,1.166,0.836,0.109,0.109,2296.734,273.938,24.39,289.958,20.441,312.247,40,102.235,0.362,0.585,0.413,1.347,0.004,29.678,1.008,56.566,0.789,0.057,2.153,0.004,0,6.0633,0.039232,0.030485,0.0018435,2300,4.24005
"735",0.724,18.281,0.127,4.345,0.484,21.315,4784.494,89.875,0.049,0.357,1.424,0.053,0.11,1.912,0.552,1.938,0.522,0.175,0.175,4021.002,57.968,20.818,512.029,24.849,364.29,40,85.956,0.312,0.831,0.749,1.111,0.002,35.248,3.038,11.533,0.16,0.107,1.577,7.879,0.001,5.4035,0.0046973,0.0040994,0.00025572,4070,1.0407804
"736",0.731,17.122,0.367,0.848,0.429,20.334,4382.377,77.793,0.481,0.063,1.33,0.108,0.187,1.938,3.65,1.081,0.796,0.039,0.039,2283.362,201.62,24.697,87.965,22.84,116.374,40,29.752,0.526,0.345,0.593,1.694,0.025,32.539,3.424,45.25,1.053,0.072,5.515,1.19,0,3.3505,0.013137,0.0058456,6.4584e-05,2280,0.14725152
"737",0.778,16.921,0.247,4.501,0.246,44.041,3267.456,85.963,0.761,0.202,1.354,0.07,0.273,1.905,5.081,1.93,0.96,0.191,0.191,1082.504,61.618,23.481,555.119,23.337,210.692,40,98.479,0.088,0.125,0.669,1.572,0.023,17.066,0.651,18.361,0.112,0.128,12.482,0.081,0,4.6252,0.052241,0.039321,0.005674,1080,6.12792
"738",0.762,19.444,0.206,0.219,0.73,39.95,3613.574,54.609,0.524,0.135,1.432,0.083,0.212,1.218,2.184,1.797,0.455,0.196,0.196,5304.957,336.546,24.541,300.516,20.91,269.92,40,4.651,0.604,0.752,0.366,1.336,0.007,15.435,1.498,21.198,0.666,0.123,12.774,0.391,0.001,0.83622,0.0007479,0.00053117,6.5357e-06,5310,0.034704567
"739",0.723,16.954,0.32,4.977,0.642,24.898,2738.76,79.685,0.537,0.209,1.434,0.095,0.187,0.057,1.056,0.964,0.408,0.048,0.048,2627.176,115.058,20.923,249.93,22.826,378.673,40,244.752,0.089,0.374,0.63,1.304,0.025,20.706,0.574,29.221,0.088,0.113,3.874,8.833,0.001,3.6476,0.050312,0.031136,0.00074549,2630,1.9606387
"740",0.725,19.09,0.242,4.911,0.216,11.186,2164.741,76.791,0.19,0.022,1.563,0.104,0.267,0.205,4.572,0.766,0.367,0.087,0.087,5202.437,322.666,24.903,351.978,20.204,161.862,40,364.785,0.386,0.336,0.28,1.156,0.013,22.38,4.846,5.411,1.195,0.072,4.855,2.164,0.001,3.2041,0.0023892,0.0010506,2.6265e-05,5210,0.13684065
"741",0.758,19.993,0.305,2.587,0.602,5.463,3513.321,58.851,0.547,0.197,1.362,0.01,0.284,1.044,2.014,1.173,0.754,0.141,0.141,1467.965,20.756,21.339,148.695,23.158,292.117,40,240.258,0.171,0.339,0.137,1.42,0.012,30.916,1.241,39.873,1.276,0.131,3.569,8.615,0.001,1.159,0.010721,0.0075385,0.00010739,1470,0.1578633
"742",0.736,19.484,0.375,3.841,0.949,12.972,2908.604,92.149,0.389,0.372,1.397,0.05,0.139,1.819,0.833,0.988,0.271,0.153,0.153,891.205,173.456,20.387,720.356,22.751,234.517,40,285.515,0.468,0.37,0.41,0.923,0.028,31.389,4.375,56.561,0.883,0.106,14.787,9.383,0,5.8169,0.063386,0.053982,0.0073772,892,6.5804624
"743",0.776,15.002,0.202,2.314,0.315,8.725,4736.351,58.564,0.317,0.282,1.428,0.089,0.269,0.504,0.539,1.546,0.287,0.008,0.008,3297.624,260.824,21.09,476.715,23.906,182.029,40,98.315,0.41,0.382,0.284,1.499,0.007,46.63,4.523,37.926,0.924,0.123,0.902,8.236,0,1.1249,0.0012838,0.00097722,3.0735e-05,3300,0.1014255
"744",0.733,17.855,0.478,4.805,0.69,42.235,3974.195,90.327,0.598,0.077,1.401,0.016,0.126,0.967,5.246,1.182,0.242,0.055,0.055,987.637,306.008,20.025,327.33,23.802,155.657,40,241.571,0.462,0.347,0.383,1.386,0.019,6.308,4.599,55.829,0.503,0.023,7.59,7.1,0,5.3998,0.020074,0.01525,0.0010883,988,1.0752404
"745",0.736,18.477,0.34,3.844,0.421,30.593,3825.203,75.33,0.647,0.08,1.313,0.062,0.259,0.103,2.126,0.815,0.968,0.018,0.018,3114.643,354.104,20.037,241.52,20.676,306.573,40,34.52,0.644,0.166,0.414,1.715,0.027,25.085,4.671,61.987,1.069,0.111,2.903,7.379,0.001,2.9241,0.035926,0.017732,0.00049975,3120,1.55922
"746",0.763,17.427,0.28,1.04,0.526,16.768,3484.966,63.345,0.903,0.113,1.438,0.08,0.176,0.014,0.477,1.204,0.984,0.09,0.09,4045.739,333.287,21.774,228.224,21.245,102.473,40,245.216,0.099,0.937,0.2,1.179,0.005,46.405,0.633,16.645,1.42,0.016,2.576,6.924,0.001,1.5129,0.017083,0.011713,6.7291e-05,4050,0.27252855
"747",0.779,15.23,0.291,1.62,0.113,12.146,4089.145,88.889,0.61,0.017,1.611,0.044,0.255,1.499,3.205,1.523,0.753,0.143,0.143,3537.839,281.827,20.617,131.592,24.683,231.062,40,174.001,0.005,0.499,0.12,1.073,0.006,47.823,1.812,4.018,0.69,0.061,3.213,4.521,0.001,5.2031,0.0069378,0.0049134,0.00017163,3540,0.6075702
"748",0.767,15.284,0.438,1.112,0.414,15.624,4218.089,55.683,0.811,0.21,1.31,0.032,0.246,1.679,2.962,1.967,0.912,0.073,0.073,2359.109,121.736,23.644,719.881,23.546,148.234,40,97.218,0.196,0.797,0.722,1.523,0.009,56.705,2.234,29.071,1.07,0.008,3.712,1.882,0.001,0.89214,0.018596,0.0062159,3.6199e-05,2370,0.08579163
"749",0.755,17.169,0.157,4.516,0.828,18.029,3098.223,84.233,0.504,0.396,1.512,0.107,0.298,0.193,1.647,0.55,0.862,0.12,0.12,1186.823,357.219,23.561,440.941,23.124,253.796,40,297.306,0.632,0.732,0.37,1.714,0.012,58.441,3.464,15.452,0.815,0.024,14.114,8.547,0.001,4.2817,0.030384,0.023017,0.00063191,1190,0.7519729
"750",0.765,15.829,0.311,3.433,0.949,11.414,2852.58,51.774,0.09,0.331,1.645,0.086,0.203,0.927,2.543,1.83,0.162,0.053,0.053,4049.646,88.251,24.667,80.309,22.04,167.345,40,69.998,0.067,0.725,0.192,1.062,0.021,51.035,1.496,31.43,0.439,0.028,9.98,0.052,0,0.59927,0.0039824,0.0015161,5.5565e-06,4050,0.022503825
"751",0.729,15.565,0.276,1.107,0.392,6.355,3297.174,58.876,0.499,0.425,1.405,0.075,0.234,0.993,3.728,1.578,0.803,0.164,0.164,5419.449,24.135,20.005,447.64,20.328,158.98,40,168.276,0.022,0.519,0.645,1.667,0.009,14.651,4.779,53.624,0.941,0.103,10.256,8.521,0.001,1.1406,0.00056689,0.00042306,9.0875e-06,5420,0.04925425
"752",0.759,17.409,0.229,4.431,0.715,3.55,2500.043,59.451,0.081,0.441,1.537,0.005,0.212,1.651,5.758,1.831,0.121,0.106,0.106,3042.808,144.926,23.184,612.023,23.423,316.434,40,243.634,0.051,0.407,0.37,1.437,0.012,3.633,3.988,53.739,1.445,0.067,2.923,0.451,0,1.1444,0.0024067,0.0012727,2.5828e-05,3040,0.07851712
"753",0.743,16.777,0.255,3.292,0.141,16.937,2609.685,57.933,0.612,0.302,1.403,0.061,0.256,0.033,5.87,0.59,0.734,0.069,0.069,5362.033,317.641,22.803,100.436,24.089,262.509,40,12.654,0.284,0.954,0.335,1.592,0.01,32.969,3.065,18.86,0.674,0.094,1.053,8.348,0,1.0558,0.0011603,0.0006363,2.7377e-06,5370,0.014701449
"754",0.775,16.861,0.32,3.522,0.97,1.618,2109.981,88.347,0.334,0.029,1.57,0.079,0.228,0.305,2.541,1.948,0.958,0.042,0.042,4077.226,112.182,23.977,598.095,21.614,155.402,40,131.057,0.511,0.652,0.598,0.932,0.03,20.954,3.262,65.678,0.595,0.041,5.326,2.68,0,4.9947,0.088051,0.055116,0.0017939,4080,7.319112
"755",0.74,16.665,0.158,2.051,0.331,5.858,3448.622,72.154,0.957,0.366,1.366,0.132,0.151,1.386,4.366,0.551,0.101,0.085,0.085,4201.49,59.129,24.894,678.805,23.453,120.495,40,87.883,0.191,0.3,0.136,0.925,0.024,31.124,1.83,15.004,0.709,0.115,3.692,9.09,0,2.5146,0.0023602,0.0013478,4.1925e-05,4200,0.176085
"756",0.764,15.462,0.216,0.229,0.726,41.07,2471.126,85.146,0.281,0.331,1.452,0.064,0.189,1.949,5.187,1.275,0.175,0.007,0.007,2949.102,289.758,20.811,570.49,20.22,369.692,40,87.561,0.5,0.76,0.639,1.495,0.026,11.504,1.82,48.698,0.289,0.051,13.14,5.57,0.001,4.4671,0.0020505,0.0011689,1.6815e-05,2950,0.04960425
