"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"2359",0.0137257777028988,0.00871625435431866,0.0656547790860806,0.115897424120619,0.0882423092075225,0.00578422536651836,-0.0134476779735072,0.312827934974701,0.126274474034907,-0.0193517967715202,-0.00345927463157554,0.0135634660986679,-0.015863279441468,0.00011330994727077,-0.21154915828816,0.132340001381132,0.170698149161263,0.00884189728090305,0.00884189728090305,-0.118487555455415,0.0128915869915307,-0.0157120680689071,0.149578434511271,0.0294926423260816,-0.0125311353716702,-0.0056687618275912,-0.00556827894593776,-0.00534526468403576,-0.253165545334529,-0.00679065830559273,-0.0699002917144629,0.0185971783034542,-0.0115385156781245,0.0160144523302879,-0.00237896314544938,0.00833205159390349,-0.0028611597574263,0.00909066241686035,-0.0144200231202442,-0.01028623773365
"2360",0.0137273767839321,0.00877730156415056,0.0656087001120554,0.115902528126849,0.088263145563998,0.00579422462623969,-0.0133764784439375,0.312866954921044,0.126333018662098,-0.0193072235243989,-0.00346580526123645,0.0135478845509857,-0.0158928330073149,0.000112551736054958,-0.211577264204888,0.132365668242752,0.170689560338097,0.00884170533719881,0.00884170533719881,-0.118387254102075,0.0128727872876742,-0.0156841460139684,0.1499593203099,0.0296093623901671,-0.0125290237336213,-0.00568388736396734,-0.00552717671445908,-0.00535287181321556,-0.253020132493306,-0.00676129863587356,-0.0699246770229379,0.01865489054412,-0.0115407093904974,0.0160448524107496,-0.00237666350648545,0.00836959904972176,-0.00286996835257199,0.00907930511475283,-0.0144206796770804,-0.0102880443988227
"2361",0.0137290487299974,0.00883832737298535,0.0655622937478162,0.115905724251943,0.088282118373563,0.00580507328955678,-0.0133046787088622,0.312900832696895,0.126390331064014,-0.0192629652916517,-0.00347209105174858,0.0135315050077133,-0.0159219455699336,0.000111738081700257,-0.211602875336691,0.132389624335749,0.170678856592787,0.00884182109220229,0.00884182109220229,-0.118285209099314,0.0128534024194201,-0.0156565812302759,0.150340560094295,0.0297263583005021,-0.0125253577864976,-0.00569890171770144,-0.00548715669153587,-0.00536005700861871,-0.252873643388296,-0.00673267525551567,-0.0699465080106662,0.0187147634398886,-0.0115417837342389,0.0160748747273506,-0.00237563537658301,0.00840675253411143,-0.00287940633278841,0.00906726782376634,-0.0144235445032592,-0.0102899910844497
"2362",0.0137320641913484,0.00889973221619873,0.065515300817485,0.115901595224181,0.0882967749915658,0.00581414923710242,-0.013236754796532,0.312918108061178,0.126440497826152,-0.0192201177850653,-0.00347918769600224,0.0135153660921559,-0.0159476475163084,0.000111345799357117,-0.211619889353419,0.132406286951697,0.170662571435109,0.00884141779170959,0.00884141779170959,-0.118183053147198,0.0128334722393506,-0.0156302594752176,0.150717482758731,0.0298405114269745,-0.0125221918244749,-0.00571299295140938,-0.0054485847176123,-0.00536718742512685,-0.252732317788983,-0.00670520500527626,-0.0699630914723278,0.0187745075828121,-0.0115400541663177,0.0161066434863479,-0.00237893808491967,0.00844264404081216,-0.00288876223788837,0.00905604732715838,-0.0144275376219027,-0.0102920009043387
"2363",0.0137348637103573,0.00896131084378174,0.065467609096638,0.115894371344768,0.0883083031842179,0.00582259625061277,-0.0131697491454231,0.312929469458566,0.126487042071144,-0.0191775213246143,-0.00348522790279707,0.0135004858675542,-0.015973590740388,0.000112727060761305,-0.211632357977223,0.132419732446868,0.170641600192683,0.0088410294114811,0.0088410294114811,-0.118081205939224,0.0128140736304059,-0.015603397487906,0.151094110991817,0.0299542607859505,-0.012519425221706,-0.00572689739031096,-0.00541035229258146,-0.00537420451790097,-0.252588210770854,-0.00667811911804779,-0.0699788650567406,0.0188339084476818,-0.0115379977322582,0.016137703721726,-0.0023812728177703,0.0084798799916521,-0.00289620356767859,0.00904610297093744,-0.014429682890832,-0.0102943558703671
"2364",0.0137365677095744,0.00902268474638461,0.0654193099439468,0.115888476710291,0.088320588155482,0.0058322450316664,-0.0131017701309186,0.312943064004545,0.126534541847426,-0.0191341351874421,-0.00349113223407759,0.0134860281540411,-0.0159996292680188,0.000113348212659604,-0.211645161573249,0.132434547863453,0.170621584556597,0.00884059981857412,0.00884059981857412,-0.117978121899127,0.012794062376172,-0.0155763989944045,0.151472106292647,0.0300679536393862,-0.0125175147057236,-0.00574000972240777,-0.00537183763287619,-0.00538088861158887,-0.252439327136018,-0.00665043147086157,-0.0699964047981319,0.0188916935017252,-0.0115387487723164,0.0161692844582438,-0.00238173615913977,0.00851804103672048,-0.00290354969272728,0.0090364049682007,-0.0144307968555041,-0.0102973160810246
"2365",0.0137390491830402,0.00908355257658391,0.0653709054431332,0.115882945503272,0.088333867784564,0.00584207785180578,-0.0130335286872317,0.312958293202103,0.126583321247548,-0.0190910304680055,-0.00349675685893867,0.0134710863618601,-0.0160264770696195,0.00011390161990071,-0.211658960220437,0.132450488621593,0.170601754997401,0.00884012003595313,0.00884012003595313,-0.117875217017984,0.0127743947796958,-0.0155495320097274,0.151850615532884,0.030183264637436,-0.0125146174283095,-0.00575487243420636,-0.00533423701539181,-0.00538830763471927,-0.252288937601997,-0.00662213176917365,-0.0700146798273491,0.0189494119132336,-0.011539511996767,0.0162002781530242,-0.00238117011844972,0.00855597960612069,-0.00291150142024995,0.00902641122306898,-0.0144317827767414,-0.0103001070240545
"2366",0.0137408727596922,0.00914371170422552,0.0653226115967707,0.115879921969027,0.0883478891290335,0.00585231744113639,-0.0129652848212777,0.312976235728554,0.126632651358031,-0.0190483037874304,-0.00350273579720721,0.0134562022828778,-0.0160525363693748,0.000113216689690835,-0.211674563202558,0.132467676982541,0.17058310887093,0.00883997526630677,0.00883997526630677,-0.11777254878223,0.0127559252570575,-0.0155216405545365,0.152228167966153,0.0302975485618177,-0.0125124130700566,-0.00576826409668514,-0.00529551289756812,-0.00539564660128341,-0.252139427765552,-0.00659464472944887,-0.0700330925669467,0.0190069192169666,-0.0115398633198186,0.0162306829037969,-0.00238044070261754,0.00859374818844348,-0.00291888360758258,0.00901550623759341,-0.0144332553511379,-0.0103021681907142
"2367",0.0137416780413325,0.00920395413241771,0.0652747375654808,0.115878469632676,0.0883635005490808,0.00586295886683636,-0.0128951141150309,0.312999951052687,0.126684611802215,-0.0190051058646624,-0.00350781867429535,0.0134407101719482,-0.016080655174302,0.000112404714219222,-0.211692957320692,0.1324874716931,0.170566101538566,0.00883961843408956,0.00883961843408956,-0.11766955662384,0.0127370357523886,-0.0154936670200111,0.15260544115507,0.0304134307196131,-0.0125079447140974,-0.00578376725156824,-0.00525739880860667,-0.00540255611087105,-0.251983805506384,-0.006565763085727,-0.0700537622642258,0.0190644252500499,-0.0115419049919339,0.0162607174076195,-0.0023764802724505,0.00863210759971028,-0.0029268924721133,0.00900534686014573,-0.0144340800506421,-0.0103058881020487
"2368",0.0137419462977314,0.00926423238290962,0.0652266899922905,0.115883054578531,0.0883832781713288,0.00587501847994066,-0.0128235059245365,0.313034909637453,0.126742131877722,-0.0189618505193903,-0.00351367194291275,0.0134236641358857,-0.0161090681827714,0.000109019228838855,-0.211717920166678,0.132512284756733,0.170554550075583,0.0088396220582181,0.0088396220582181,-0.117567280220566,0.0127185325004698,-0.0154645942363907,0.152985775209264,0.0305302621828747,-0.0125033066164023,-0.00579842542887932,-0.00521797927000605,-0.00541006560468171,-0.251828710166509,-0.00653694885599901,-0.0700754141106281,0.0191230438498082,-0.0115457007345663,0.0162898978023736,-0.00237236299083732,0.00867035177817501,-0.00293671418559722,0.0089929572277443,-0.0144368216373935,-0.0103082993309354
