"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"2117",0.0112109751851992,0.0146081246430343,0.059169090940086,0.108335547420149,0.082526147817224,0.00678188124084507,-0.00610023127284683,0.314835423919827,0.119272590978752,-0.0168908111963582,-0.00508558558324604,0.0139391717298433,-0.0169512894993308,-0.00239819223076147,-0.200073932329575,0.126536412957385,0.159494209658401,0.0087788881470464,0.0087788881470464,-0.0959176551940792,0.0126459145470679,-0.0139898283126748,0.162732706234348,0.0331758994423922,-0.0126845290812475,-0.0070293337682335,-0.000584938377994973,-0.00624727240962513,-0.24071037349764,-0.00563377097184779,-0.0668475838267934,0.0230880960850501,-0.0124864777080289,0.0172331308766127,-0.00261504010220201,0.0107745456920526,-0.00263661896449429,0.00612486453297084,-0.0139183857808242,-0.0117075444043841
"2118",0.0112001611641622,0.0146228720031275,0.0591171538900211,0.108277353389866,0.0825191408974474,0.00678575031281192,-0.00605656175370479,0.314821793947498,0.119217310556666,-0.0168391671931118,-0.00505729739098882,0.0139363949467483,-0.0169886856821814,-0.00235299550155383,-0.199993622230772,0.126510576029793,0.159388186303977,0.00877809529058335,0.00877809529058335,-0.0960975208994154,0.0126175852146705,-0.0140233489494443,0.162817731039352,0.0332209197818774,-0.0126749080455407,-0.00706972682046051,-0.000614239649548086,-0.00625659591461025,-0.240470175989585,-0.00561498067911782,-0.0670060928321115,0.0229573524193643,-0.0125324686340926,0.0172280531366287,-0.00251182217367482,0.0108203327999158,-0.00256362636574556,0.00621168539420286,-0.0138179279033619,-0.0117223938750836
"2119",0.0112514974958443,0.0146917716216404,0.0591003220013868,0.108264125354305,0.0825979346705703,0.00677602287869371,-0.00602218035595486,0.314703918827545,0.119249998499999,-0.0167878421893276,-0.00500558121944881,0.0139114658369386,-0.0170434681597478,-0.0022635381493595,-0.199985513888575,0.126531990750575,0.159352289322846,0.0087732872114683,0.0087732872114683,-0.0966276441336675,0.0125905242303659,-0.0140281448381488,0.163002530680016,0.0332659522378362,-0.0126386429342876,-0.00711640484453239,-0.000625901003586737,-0.0062413699288455,-0.240329430250984,-0.0056000819618478,-0.0670846883011322,0.0232844407611669,-0.012571730748006,0.0172409838852528,-0.00263936706763882,0.010847134094786,-0.00268974327887826,0.00619082509223907,-0.013956032412073,-0.0117000328574359
"2120",0.0112461150637054,0.0147146273037036,0.0590493630619077,0.108191955315371,0.0825967815353136,0.00677560738937928,-0.0059811585020993,0.314654617042007,0.119185733851528,-0.016728044028933,-0.00496616902235915,0.0139059929681296,-0.0170901505256405,-0.00219790495690686,-0.199885711318092,0.126495219661215,0.159231774554314,0.00877076719693976,0.00877076719693976,-0.0969232963485537,0.0125664799198271,-0.0140712086820996,0.163071323803992,0.033303096972583,-0.0126296904821482,-0.00715862068568736,-0.000662162604389625,-0.00625024280476844,-0.240071606632398,-0.005575996291093,-0.0672684249787563,0.0231859126366618,-0.0126248167130985,0.017237155694541,-0.0025525937549198,0.0108955872574269,-0.00263001467543658,0.00627960935149917,-0.0138618687512097,-0.0117169055850294
"2121",0.0111923609220066,0.0146752622557013,0.0590403754043442,0.108213243441574,0.0825491492970046,0.006798986569822,-0.00594493219004915,0.314744885689418,0.119175069159277,-0.016717946383128,-0.00501515162140112,0.0139324247169555,-0.0170745530935513,-0.00226501407265458,-0.199897730153487,0.126481656705239,0.159181129903891,0.00877538469148799,0.00877538469148799,-0.0965231714589694,0.0125839858825556,-0.014050586722071,0.163187095707104,0.0333590544508667,-0.0126630073250931,-0.00712747707418087,-0.000640765511417799,-0.00626934328757907,-0.239991549007744,-0.00557253638365173,-0.0673065445118188,0.0227932365561938,-0.0126127711689201,0.0172449106822053,-0.00237186907712604,0.0109257023688922,-0.00250792795077107,0.00631557189948103,-0.0137027218436826,-0.0117433955468768
"2122",0.011220222403121,0.0147193450547437,0.0590387014658489,0.108246812277627,0.0826032608891288,0.00680265833870387,-0.00591962676913861,0.314702463821867,0.119247292480164,-0.0167044156329707,-0.00500641239143837,0.013911688039505,-0.0170836160920761,-0.00225365859582774,-0.199942839780611,0.126514689370355,0.159208809516289,0.00877447408993234,0.00877447408993234,-0.0966659062455852,0.0125854109771543,-0.0140141216932277,0.163396745483021,0.0334111600852747,-0.0126403793564432,-0.00713388440037082,-0.000616209147971234,-0.00625989541627126,-0.239955576848779,-0.00556459025063507,-0.0672847406295571,0.0230161384102548,-0.0126088052807823,0.0172596894794531,-0.00247249565155614,0.0109416237484731,-0.00261180771923459,0.00626089573457702,-0.0138186595241918,-0.0117282384604317
"2123",0.0112871746460318,0.0148138532060412,0.0590005679078446,0.108194138820196,0.0826894340539237,0.00678758141175906,-0.00588967477434101,0.314531709941919,0.11925983065065,-0.0166470734889067,-0.00492137353217408,0.0138654185742643,-0.0171490059972967,-0.0021264953852767,-0.19988125702032,0.126520507172426,0.159163170826285,0.00876723199611879,0.00876723199611879,-0.0974073149360775,0.0125574006911078,-0.0140372794118212,0.163554357457047,0.03344413125223,-0.012584815319928,-0.0072046039525502,-0.000644454075651284,-0.00624250814898364,-0.239755911232004,-0.00554274791454983,-0.0673977257043598,0.0234638767212368,-0.0126629220458162,0.0172642933341546,-0.00264153849296647,0.0109735961914793,-0.00275694813243,0.00625834291192514,-0.0139795876307594,-0.0117060350202289
"2124",0.0113215394938069,0.0148750455801627,0.0589513978828847,0.108105496191907,0.08272863357042,0.0067756988862562,-0.00585238945572457,0.314379649121312,0.119200859297458,-0.0165736539870209,-0.0048456951946375,0.013843022067691,-0.0172225407293656,-0.00200037866760597,-0.199765891875113,0.12648854203726,0.159038117447929,0.00876054575581841,0.00876054575581841,-0.0980533393441616,0.0125329411279318,-0.0140905754157284,0.163636392450693,0.0334715537781723,-0.0125535342432314,-0.00727413155317705,-0.000693713716511231,-0.00623691111983373,-0.239478812047072,-0.00551952382383412,-0.0675933085925383,0.0236270422494454,-0.0127347563671179,0.0172653716609726,-0.00267238277767542,0.0110178512941636,-0.00279068134794527,0.00632132171500002,-0.0140000959263937,-0.0117048465530459
"2125",0.0113466635744838,0.0149224061851621,0.0589170828508944,0.108032646306382,0.0827579940034709,0.00676676028419992,-0.00581537636159558,0.314237257985214,0.119145750227114,-0.0165047220458786,-0.0047870084153674,0.0138331229809184,-0.0172885954588645,-0.00189225406093268,-0.199668169072244,0.126454209665961,0.15890989803777,0.00875427527629596,0.00875427527629596,-0.0985980009111999,0.0125207471631038,-0.0141360940767826,0.163719891855353,0.033499740978385,-0.0125380315760638,-0.00732836361731122,-0.000734401639810729,-0.00623330792061754,-0.239233905065988,-0.00550070798964151,-0.0677737486069114,0.0237151591944822,-0.0127977807637841,0.0172712375960755,-0.00268231209450877,0.0110603743398349,-0.00281342711708332,0.00637331243502158,-0.014004109319936,-0.0117053062710564
"2126",0.0112874176906267,0.0148830633769747,0.058888616465194,0.107992309416594,0.0826887045372223,0.00678504695816653,-0.00577870307328126,0.314276290320741,0.119065738389799,-0.0164716679272691,-0.00481167666629819,0.0138635268929342,-0.0172943449199758,-0.00191554220396884,-0.199595729992438,0.126397406390185,0.158783018516517,0.00875676265045929,0.00875676265045929,-0.0983779680045615,0.0125437409999752,-0.0141577997014321,0.163758419251953,0.0335393586237279,-0.012576087765632,-0.00731651345865579,-0.00074578596891037,-0.0062579270096909,-0.239050865028075,-0.00548929145482761,-0.0679133923158267,0.0232401335973772,-0.0128157556584585,0.0172734452639771,-0.00245010439326674,0.0111049451474514,-0.00264002694868687,0.00646857252427364,-0.0137729835283962,-0.0117450511003659
"2127",0.0112273191794584,0.0148319200195384,0.0589043717553503,0.108056540179918,0.0826321487960555,0.00681543524991057,-0.00575397941451791,0.314396108044912,0.119098338877514,-0.0164937172965973,-0.00489298795875698,0.0138956256322483,-0.0172444198389268,-0.00203572441743409,-0.199662301182731,0.126397630646217,0.158789747332954,0.00876392390378764,0.00876392390378764,-0.0977338985626712,0.0125901000137017,-0.0140993311719518,0.16391022874807,0.0335992508551024,-0.012619857784444,-0.00725048361550408,-0.000693355698458613,-0.00627639064272432,-0.239084237800871,-0.00549425497710069,-0.0678565559540026,0.0228374197603856,-0.0127664788155975,0.0172873528959739,-0.00228822235015672,0.0111225980121413,-0.00253492619506776,0.00645747342951663,-0.0136382261717264,-0.0117703823261888
"2128",0.0110792928049249,0.0146912196288728,0.0589188144441898,0.108176645051929,0.0824770031812091,0.00687426308441099,-0.00573570232179046,0.314744093655321,0.119144229321254,-0.0165739181297009,-0.00507112762007195,0.0139551837665953,-0.0171078073468239,-0.00232782928977404,-0.199784207540063,0.126397575168938,0.158860040071099,0.0087820458237414,0.0087820458237414,-0.0961433961645451,0.0126536605889249,-0.0139902368302019,0.164050898723251,0.0336801833668896,-0.012701855417027,-0.00711166916542252,-0.000592740488798302,-0.00632536327012792,-0.239229371787815,-0.00550790191479511,-0.0676882524421534,0.021901217052905,-0.0126475898263135,0.0172898919388947,-0.00189576635609989,0.0111366531892856,-0.0022343076045895,0.00647720117694921,-0.0132836642566013,-0.0118307526962068
"2129",0.0110998830339315,0.0147157099449109,0.0589667640757936,0.10837025354127,0.0825388134335289,0.00689721524525112,-0.0057334960760337,0.314868718598531,0.11939188454279,-0.0166609235583787,-0.00515349725609079,0.0139301121052837,-0.0170123030072701,-0.00248994193449917,-0.20003837422689,0.126521216126174,0.159120602290526,0.0087902472393633,0.0087902472393633,-0.0954936428755985,0.012669096805971,-0.0138237558266977,0.164432828327987,0.0337644854843812,-0.0126778088884629,-0.00703334580149711,-0.000464193503167791,-0.00630971431625183,-0.239536442453015,-0.00552566155566464,-0.0673274202875258,0.0222282282498258,-0.0125303920483684,0.0173157019890834,-0.00209143675021752,0.011108594754138,-0.00242163059296525,0.00626777191430146,-0.0135351982210356,-0.0117974065074637
"2130",0.0112584900479314,0.0149073132361144,0.0589195856789418,0.108336220903615,0.0827354245988073,0.00685922526816507,-0.00571820237477729,0.314610024796026,0.119513240871677,-0.0166203818664813,-0.00500583999894942,0.0138204709084661,-0.0170872308983234,-0.00230144069613278,-0.200025828533386,0.126599463845543,0.159208137738088,0.00877889050563702,0.00877889050563702,-0.0966909319917239,0.0125766352784848,-0.0138175098227041,0.164713352294647,0.033800352329848,-0.0125422189233884,-0.00714908881718452,-0.00047934840141281,-0.00626287293470662,-0.239411208590218,-0.00550119189189609,-0.0673193551747276,0.0234042395593116,-0.0125794756167842,0.0173187147184071,-0.00257697304253065,0.0111210671338919,-0.00281031630174824,0.0061684835988773,-0.0140130125829061,-0.0117273536185749
"2131",0.0112151522201665,0.0148957422605531,0.058836668433203,0.108233116522217,0.0826742186881382,0.00686491333023748,-0.00567618268817755,0.314652177392779,0.119390872509756,-0.0165713525481994,-0.00497944051226281,0.0138252078159574,-0.01711550489674,-0.00227518603584434,-0.199880261231762,0.126540847639438,0.159059876013595,0.00877999992284225,0.00877999992284225,-0.0966833164275316,0.0125265913150038,-0.0138782337984119,0.164713456637946,0.0338391228036879,-0.0125385749703924,-0.00719269539175394,-0.000527227051954079,-0.00628800863890891,-0.239105401427062,-0.00548181393019129,-0.0675224821799759,0.023038273862819,-0.0126311076467561,0.0172978913773878,-0.0023437668513255,0.0111781087486041,-0.0026140218636483,0.00633396946153439,-0.0137741372125033,-0.0117634972288409
"2132",0.0111245648883089,0.0148092440977843,0.0588470890257063,0.108325565235575,0.0825885883177894,0.0069013758502274,-0.00564711338403858,0.314882693090941,0.119424743597947,-0.0166085053290717,-0.00509483609562053,0.0138737677992791,-0.017041478023811,-0.00245684655095938,-0.199982363996393,0.126555549762251,0.159080338964239,0.00879169859430478,0.00879169859430478,-0.0956630449624918,0.0125483366358323,-0.0138051513866044,0.164862944900288,0.0339140392243132,-0.0125904921103176,-0.00710986763888857,-0.000461596733048398,-0.00631545388799127,-0.239173407826804,-0.00549488848000641,-0.0674211243161582,0.022437134316275,-0.0125639114719347,0.0173086494622339,-0.00208471656716699,0.0111912797142656,-0.0024331774688464,0.00633960114248093,-0.0135644465001761,-0.0117933550228226
