"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","uslec_c","MNGN","bd1","fc","WP","OC","app_rate","DWRATE","DSRATE","kd","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf","przm_max_h2","pwc_max_peak","pwc_max_h2","pwc_max_benthic","Conv.Factor","max_sed","przm_max_pest"
"1000",0.744,19.597,0.471,4.677,0.703,9.789,2511.274,64.72,0.018,0.383,1.414,0.142,0.162,1.665,0.968,0.032,0.032,1878.668,7.605,21.84,333.529,20.447,361.014,40,181.685,0.591,0.691,0.74,1.653,0.03,24.79,3.358,12.617,1.215,0.001,5.032,6.399,0,1.0288,0.025119,0.0055938,6.6792e-05,1880,0.12556896,7.9418e-13
"1001",0.769,18.609,0.235,0.357,0.447,24.861,3432.454,77.302,0.736,0.055,1.432,0.141,0.182,1.49,0.939,0.189,0.189,3143.444,109.167,21.343,100.15,23.938,348.322,40,33.169,0.62,0.747,0.783,1.631,0.015,48.5,3.092,13.145,1.157,0.074,11.678,4.473,0,2.1969,0.0059742,0.0029116,2.0552e-05,3150,0.0647388,3.7793e-13
"1002",0.729,16.223,0.439,2.927,0.771,2.783,3511.493,76.67,0.415,0.307,1.544,0.018,0.293,1.049,1.971,0.102,0.102,3879.886,8.134,21.529,128.25,23.892,259.092,40,65.637,0.311,0.102,0.246,1.123,0.025,32.782,1.127,5.06,0.936,0.12,4.648,6.286,0,0.80992,0.010845,0.0039396,0.00020009,3880,0.7763492,2.3853e-13
"1003",0.759,18.979,0.47,4.5,0.577,17.677,4196.983,81.559,0.628,0.099,1.303,0.07,0.224,0.758,1.618,0.176,0.176,3274.196,277.633,21.653,225.745,21.733,180.361,40,314.204,0.221,0.966,0.216,1.017,0.01,17.387,1.437,20.716,0.596,0.044,0.684,3.46,0.001,2.0599,0.0091223,0.0045809,5.5337e-05,3280,0.18150536,6.9467e-13
"1004",0.734,15.363,0.148,3.941,0.795,21.658,2382.368,70.066,0.017,0.223,1.352,0.009,0.107,0.34,1.85,0.076,0.076,1639.844,345.262,24.16,80.137,21.057,138.061,40,24.046,0.647,0.417,0.262,1.713,0.009,45.469,4.101,10.34,1.231,0.01,4.616,3.986,0.001,0.34802,0.014199,0.0056407,5.0392e-05,1640,0.08264288,1.019e-13
"1005",0.753,19.283,0.177,3.95,0.795,2.265,3808.942,82.2,0.882,0.254,1.358,0.149,0.123,1.21,1.638,0.145,0.145,3285.106,44.535,24.728,579.766,23.577,341.926,40,285.583,0.695,0.402,0.129,1.021,0.028,50.224,1.873,23.24,0.651,0.066,11.394,7.844,0.001,3.1181,0.01169,0.0073884,0.00031385,3290,1.0325665,1.8304e-12
"1006",0.745,15.689,0.432,0.686,0.615,17.233,3621.611,69.452,0.526,0.4,1.467,0.048,0.121,0.23,0.955,0.087,0.087,1910.368,341.011,21.448,514.252,20.207,232.07,40,43.606,0.273,0.409,0.395,1.642,0.015,32.125,2.974,41.372,0.849,0.034,4.19,8.396,0.001,0.79121,0.0096832,0.0047755,0.00013564,1910,0.2590724,1.3784e-13
"1007",0.755,15.267,0.298,1.641,0.402,21.862,4300.075,90.553,0.558,0.154,1.32,0.136,0.208,1.206,1.024,0.098,0.098,1491.904,248.268,20.887,233.022,21.632,116.817,40,123.46,0.286,0.659,0.129,1.304,0.003,31.548,0.111,21.413,0.721,0.042,10.25,2.469,0,4.4473,0.0043743,0.0037346,0.00020059,1490,0.2988791,2.7867e-12
"1008",0.747,18.302,0.224,0.687,0.145,26.437,4592.272,85.267,0.206,0.18,1.438,0.068,0.153,1.874,1.847,0.03,0.03,4079.399,230.224,22.371,292.538,23.257,312.241,40,237.612,0.362,0.619,0.181,1.076,0.03,34.812,3.247,35.067,0.403,0.063,7.644,1.967,0.001,2.8256,0.0073747,0.0034914,6.3109e-05,4080,0.25748472,9.007e-12
"1009",0.753,17.033,0.274,3.219,0.739,5.894,2946.076,84.226,0.239,0.032,1.555,0.033,0.161,1.404,1.958,0.135,0.135,3638.143,71.287,20.994,382.721,21.842,356.411,40,11.995,0.263,0.747,0.298,1.12,0.018,26.203,1.869,37.794,0.243,0.037,9.047,2.913,0.001,2.0289,0.0070884,0.0035691,6.1202e-05,3640,0.22277528,9.5974e-13
"1010",0.749,16.574,0.259,1.466,0.648,48.987,3144.106,91.921,0.526,0.156,1.445,0.007,0.203,1.294,0.762,0.12,0.12,1515.945,26.792,24.695,727.673,20.398,379.794,40,359.369,0.672,0.775,0.386,1.494,0.01,37.95,4.745,14.946,1.387,0.049,5.55,1.413,0,3.1957,0.008119,0.0050853,0.00013337,1520,0.2027224,9.2177e-13
